ID   SpT     S/N SpT     S/N ri_c ri_o  Eri  err_Eri EW(Ha) fD   Eri_cs Eri_is err_Eri_is EBV_is err_EBV_is R13  err_R13 086_SFD98 RF09 Sale14
 79  B3IV    46  Mid-B   31  0.83 -0.12 0.95 0.02   -35     0.12 0.14   0.81   0.05       1.25   0.08       1.24 0.07    1.50      0.36 1.05
 80  ""      ""  Late-B  17  0.56 -0.04 0.60 0.04   -15     0.05 0.09   0.51   0.05       0.78   0.08       ""   ""      1.15      0.29 0.95
 81  ""      ""  B6      35  0.51 -0.07 0.58 0.01   -14     0.05 0.08   0.50   0.03       0.77   0.05       ""   ""      0.88      0.42 0.89
 82  ""      ""  B9      24  0.61 -0.02 0.63 0.02   -20     0.07 0.14   0.49   0.06       0.75   0.09       ""   ""      1.47      0.43 0.99
 83  B4V     44  Mid-B   33  0.41 -0.09 0.49 0.02   -14     0.05 0.07   0.42   0.03       0.65   0.05       0.77 0.07    0.83      0.17 0.65
 84  ""      ""  B7      82  0.50 -0.06 0.56 0.02    -8     0.03 0.05   0.51   0.04       0.78   0.06       ""   ""      1.45      0.42 1.19
 85  ""      ""  Mid-B   22  0.58 -0.08 0.66 0.05   -18     0.06 0.08   0.58   0.06       0.89   0.09       ""   ""      1.12      0.35 1.01
 86  ""      ""  B7      67  0.31 -0.06 0.37 0.02   -12     0.04 0.07   0.30   0.04       0.46   0.06       ""   ""      1.07      0.32 0.85
 87  ""      ""  Mid-B   17  0.58 -0.08 0.66 0.05   -34     0.11 0.15   0.51   0.06       0.78   0.09       ""   ""      1.06      0.37 0.83
 88  B8-9III 66  ""      ""  0.51 -0.03 0.54 0.02   -11     0.04 0.08   0.46   0.05       0.71   0.08       0.86 0.07    0.88      0.25 0.78
 89  ""      ""  B5      36  0.41 -0.08 0.49 0.01   -11     0.04 0.06   0.43   0.03       0.66   0.05       ""   ""      0.83      0.25 0.76
 90  ""      ""  B6      34  0.39 -0.07 0.46 0.01    -6     0.02 0.03   0.43   0.03       0.66   0.05       ""   ""      0.93      0.33 0.99
 91  ""      ""  B7      26  0.33 -0.06 0.39 0.02    -3     0.01 0.02   0.36   0.03       0.55   0.05       ""   ""      0.78      0.31 0.70
 92  B4V     31  cont+Ba 17  1.12 -0.09 1.21 0.02   -48     0.16 0.19   1.02   0.05       1.57   0.08       1.43 0.10    1.77      0.63 1.35
 93  ""      ""  Late-B  17  0.50 -0.04 0.54 0.04   -12     0.04 0.07   0.47   0.05       0.72   0.08       ""   ""      1.11      0.28 0.80
 94  ""      ""  B3      52  0.50 -0.12 0.62 0.02   -15     0.05 0.06   0.56   0.03       0.86   0.05       ""   ""      1.43      0.52 1.24
 95  ""      ""  B3      32  0.56 -0.12 0.68 0.02   -34     0.11 0.13   0.55   0.04       0.85   0.06       ""   ""      0.91      0.30 0.68
 96  ""      ""  Late-B  15  0.57 -0.04 0.61 0.04   -17     0.06 0.10   0.51   0.05       0.78   0.08       ""   ""      1.36      0.36 1.01
 97  B3V     46  B3      36  0.48 -0.12 0.60 0.02   -41     0.14 0.16   0.44   0.05       0.68   0.08       0.64 0.08    1.01      0.34 0.83
 98  ""      ""  B1      72  0.44 -0.15 0.59 0.02   -25     0.08 0.09   0.50   0.04       0.77   0.06       ""   ""      1.19      0.47 1.14
 99  ""      ""  B4-5    75  0.28 -0.08 0.36 0.02   -32     0.11 0.14   0.22   0.04       0.34   0.06       ""   ""      0.83      0.15 0.69
100  ""      ""  Mid-B   22  0.55 -0.08 0.63 0.05   -10     0.03 0.04   0.59   0.06       0.91   0.09       ""   ""      0.93      0.24 0.85
101  ""      ""  B3      40  0.59 -0.12 0.71 0.02   -23     0.08 0.10   0.61   0.04       0.94   0.06       ""   ""      1.40      0.25 0.88
102  ""      ""  Late-B  15  0.72 -0.04 0.76 0.04   -17     0.06 0.10   0.66   0.05       1.02   0.08       ""   ""      2.10      0.79 1.72
103  ""      ""  B4      70  0.39 -0.09 0.48 0.02   -11     0.04 0.05   0.43   0.04       0.66   0.06       ""   ""      0.75      0.16 0.71
104  ""      ""  Mid-B   23  0.73 -0.08 0.81 0.05   -28     0.09 0.12   0.70   0.06       1.08   0.09       ""   ""      1.12      0.30 1.17
105  B6IV    59  Late-B  20  0.56 -0.07 0.63 0.01   -26     0.09 0.13   0.50   0.04       0.77   0.06       0.97 0.08    0.80      0.31 1.04
106  ""      ""  B4      81  0.34 -0.09 0.43 0.02   -31     0.10 0.13   0.30   0.04       0.46   0.06       ""   ""      0.78      0.30 0.67
107  B2-3V   46  cont+Ba 14  0.59 -0.12 0.72 0.02   -64     0.21 0.22   0.50   0.05       0.77   0.08       0.84 0.08    0.94      0.18 0.78
108  ""      ""  B5      38  0.40 -0.08 0.48 0.01   -30     0.10 0.13   0.34   0.04       0.52   0.06       ""   ""      0.82      0.27 0.65
109  ""      ""  Late-B  21  0.53 -0.04 0.57 0.04   -10     0.03 0.06   0.51   0.06       0.78   0.09       ""   ""      1.12      0.32 0.89
110  ""      ""  Mid-B   34  0.40 -0.08 0.48 0.05    -8     0.03 0.04   0.44   0.06       0.68   0.09       ""   ""      0.71      0.17 0.70
111  ""      ""  B3      38  0.85 -0.12 0.97 0.02   -20     0.07 0.09   0.88   0.04       1.35   0.06       ""   ""      0.90      0.36 0.84
112  ""      ""  Mid-B   31  0.69 -0.08 0.77 0.05   -39     0.13 0.17   0.60   0.06       0.92   0.09       ""   ""      1.09      0.34 0.93
113  ""      ""  Mid-B   27  0.45 -0.08 0.53 0.05    -8     0.03 0.04   0.49   0.06       0.75   0.09       ""   ""      1.01      0.48 0.89
114  ""      ""  B7      66  0.47 -0.06 0.53 0.02   -11     0.04 0.07   0.46   0.04       0.71   0.06       ""   ""      1.13      0.41 0.98
115  ""      ""  Early-B 20  0.80 -0.13 0.93 0.05   -43     0.14 0.15   0.78   0.06       1.20   0.09       ""   ""      1.03      0.25 0.78
116  ""      ""  Mid-B   20  0.61 -0.08 0.69 0.05   -27     0.09 0.12   0.57   0.06       0.88   0.09       ""   ""      1.09      0.32 1.10
117  ""      ""  Mid-B   31  0.55 -0.08 0.62 0.05   -21     0.07 0.10   0.52   0.06       0.80   0.09       ""   ""      0.91      0.35 0.80
118  ""      ""  B7      52  0.42 -0.06 0.48 0.02   -17     0.06 0.10   0.38   0.04       0.58   0.06       ""   ""      0.79      0.22 0.62
119  ""      ""  B5      32  0.36 -0.08 0.44 0.01   -15     0.05 0.07   0.37   0.03       0.57   0.05       ""   ""      0.77      0.16 0.75
120  ""      ""  Late-B  24  0.57 -0.04 0.61 0.04   -11     0.04 0.07   0.54   0.05       0.83   0.08       ""   ""      0.98      0.23 0.87
121  ""      ""  B1      62  0.40 -0.15 0.55 0.02   -16     0.05 0.06   0.49   0.03       0.75   0.05       ""   ""      0.89      0.14 0.75
122  ""      ""  Mid-B   36  0.43 -0.08 0.51 0.05   -34     0.11 0.15   0.36   0.06       0.55   0.09       ""   ""      0.78      0.27 0.73
123  ""      ""  Mid-B   43  0.39 -0.08 0.47 0.05   -11     0.04 0.06   0.41   0.06       0.63   0.09       ""   ""      1.14      0.32 1.23
124  ""      ""  B3      48  0.36 -0.12 0.48 0.02   -33     0.11 0.13   0.35   0.04       0.54   0.06       ""   ""      0.77      0.38 0.74
125  ""      ""  Late-B  23  0.67 -0.04 0.71 0.04   -12     0.04 0.07   0.64   0.05       0.98   0.08       ""   ""      0.88      0.29 0.91
126  B6V     49  Late-B  27  0.57 -0.07 0.64 0.01   -16     0.05 0.08   0.56   0.03       0.86   0.05       0.89 0.08    1.02      0.32 0.91
127  ""      ""  Late-B  19  0.33 -0.04 0.37 0.04   -11     0.04 0.07   0.30   0.05       0.46   0.08       ""   ""      0.73      0.17 0.74
128  ""      ""  B3      36  0.57 -0.12 0.69 0.02   -35     0.12 0.14   0.55   0.05       0.85   0.08       ""   ""      1.23      0.58 1.21
129  ""      ""  A0      28  0.65  0.00 0.65 0.01   -22     0.07 0.15   0.50   0.06       0.77   0.09       ""   ""      1.08      0.34 0.86
130  ""      ""  Late-B  19  0.54 -0.04 0.58 0.04   -27     0.09 0.15   0.43   0.06       0.66   0.09       ""   ""      0.87      0.49 0.77
131  ""      ""  B3      41  0.55 -0.12 0.67 0.02   -35     0.12 0.14   0.53   0.05       0.82   0.08       ""   ""      0.96      0.22 0.74
132  ""      ""  Late-B  34  0.41 -0.04 0.45 0.04    -9     0.03 0.06   0.39   0.06       0.60   0.09       ""   ""      0.79      0.35 0.72
133  ""      ""  B9      35  0.84 -0.02 0.86 0.02   -21     0.07 0.14   0.72   0.05       1.11   0.08       ""   ""      1.34      0.54 1.43
134  ""      ""  B8      53  0.35 -0.04 0.39 0.02   -11     0.04 0.07   0.32   0.04       0.49   0.06       ""   ""      0.81      0.22 0.74
135  ""      ""  Late-B  13  0.51 -0.04 0.55 0.04   -10     0.03 0.06   0.49   0.06       0.75   0.09       ""   ""      1.01      0.13 0.96
